Scenario,Filter,OOS Prof%,Lift (pp),Pool,% Edge
B_low_prev,No filter,31.448157669237357,0.0,1167,—
B_low_prev,IS PF>1,27.936962750716333,-3.5111949185210243,698,1.6
B_low_prev,MC-MDD p50,36.38211382113821,4.933956151900855,492,1.2
B_low_prev,MC-MDD p50 + IS PF>1,29.77941176470588,-1.6687459045314768,272,1.5
B_low_prev,MC-MDD p75,38.59649122807017,7.148333558832814,228,1.8
B_low_prev,MC-MDD p75 + IS PF>1,28.985507246376812,-2.462650422860545,138,1.4
B_low_prev,MC-MDD p90,40.44943820224719,9.00128053300983,89,0.0
B_low_prev,MC-MDD p90 + IS PF>1,28.8135593220339,-2.6345983472034575,59,0.0
B_low_prev,MC-Calmar p50,29.058116232464933,-2.3900414367724245,499,1.6
B_low_prev,MC-Calmar p50 + IS PF>1,28.73134328358209,-2.716814385655269,268,1.5
B_low_prev,MC-Calmar p75,28.515625,-2.9325326692373572,256,2.0
B_low_prev,MC-Calmar p75 + IS PF>1,28.676470588235293,-2.7716870810020637,136,1.5
B_low_prev,MC-Calmar p90,26.851851851851855,-4.5963058173855025,108,0.9
B_low_prev,MC-Calmar p90 + IS PF>1,30.508474576271187,-0.9396830929661704,59,0.0
B_low_prev,MC-ROI* p50 (artefactual),40.56603773584906,9.1178800666117,212,—
B_low_prev,MC-ROI* p75 (artefactual),34.5679012345679,3.119743565330541,81,—
